;Region,Year,;Trigger,;Weak Layer,Depth_inches,;Aspect,Day,Elevation_feet,Vertical_inches,Month
Salt Lake,2010,Skier,Surface Hoar,20.0,Northeast,5,8900.0,10800.0,3
Uintas,2010,Skier,Surface Hoar,14.0,North,6,10000.0,1800.0,3
Salt Lake,2010,Skier,Density Change,8.0,North,6,9700.0,3600.0,3
Salt Lake,2010,Skier,Density Change,10.0,Northeast,6,10000.0,720.0,3
Logan,2010,Natural,Unknown,12.0,Southwest,5,5700.0,10800.0,3
Salt Lake,2010,Unknown,Unknown,12.0,Northeast,6,10400.0,2400.0,3
Salt Lake,2010,Skier,New Snow/Old Snow Interface,16.0,Northeast,6,10200.0,3600.0,3
Salt Lake,2010,Skier,Surface Hoar,18.0,Northwest,7,7800.0,2400.0,3
Salt Lake,2010,Skier,Facets,12.0,North,7,10000.0,1800.0,3
Uintas,2010,Natural,Unknown,24.0,Southwest,7,10400.0,10800.0,3
Salt Lake,2010,Skier,Surface Hoar,18.0,Northwest,7,8800.0,480.0,3
Provo,2010,Skier,Facets,12.0,Northeast,7,8500.0,960.0,3
Salt Lake,2010,Skier,Density Change,12.0,North,8,9300.0,2400.0,3
Uintas,2010,Skier,Surface Hoar,12.0,North,7,9600.0,2400.0,3
Ogden,2010,Unknown,Unknown,10.0,Unknown,6,9000.0,12000.0,3
Ogden,2010,Skier,Unknown,12.0,Northeast,6,9000.0,6000.0,3
Uintas,2010,Snowmobiler,Depth Hoar,30.0,Northeast,8,10000.0,1200.0,3
Logan,2010,Skier,Facets,36.0,West,10,9100.0,15000.0,3
Salt Lake,2010,Natural,Surface Hoar,24.0,Northeast,9,9400.0,7200.0,3
Salt Lake,2010,Snowboarder,Unknown,24.0,Northeast,12,10200.0,4800.0,3
Provo,2010,Snowmobiler,Unknown,30.0,Southwest,9,10700.0,6000.0,3
Salt Lake,2010,Natural,Facets,36.0,North,14,9800.0,36000.0,3
Salt Lake,2010,Natural,Unknown,84.0,Northeast,14,9900.0,12000.0,3
Uintas,2010,Snowmobiler,Surface Hoar,22.0,Northeast,14,10100.0,2400.0,3
Provo,2010,Natural,Depth Hoar,48.0,East,17,10200.0,39000.0,3
Skyline,2010,Natural,Unknown,30.0,East,17,1118.2737529343,65543.2410577395,3
Salt Lake,2010,Natural,Unknown,18.0,Northeast,17,8900.0,3000.0,3
Logan,2010,Snowboarder,New Snow/Old Snow Interface,12.0,Northeast,27,8900.0,1800.0,3
Salt Lake,2010,Skier,New Snow,8.0,North,31,10200.0,9600.0,3
Salt Lake,2010,Skier,New Snow,8.0,North,31,10000.0,6000.0,3
Salt Lake,2010,Natural,New Snow/Old Snow Interface,12.0,North,31,9800.0,12000.0,3
Logan,2010,Skier,Unknown,16.0,North,1,8900.0,10800.0,4
Salt Lake,2010,Skier,Density Change,12.0,Northeast,2,10000.0,4800.0,4
Salt Lake,2010,Skier,Density Change,20.0,North,2,10300.0,4800.0,4
Salt Lake,2010,Skier,Density Change,18.0,North,2,9300.0,2400.0,4
Salt Lake,2010,Unknown,New Snow/Old Snow Interface,8.0,Northeast,3,9600.0,7200.0,4
Salt Lake,2010,Skier,Unknown,12.0,Southeast,3,9200.0,1500.0,4
Provo,2010,Natural,Unknown,24.0,Northeast,3,10800.0,12000.0,4
Logan,2010,Skier,Facets,18.0,North,3,8800.0,24000.0,4
Logan,2010,Unknown,Facets,36.0,North,3,9000.0,15000.0,4
Logan,2010,Natural,Unknown,48.0,East,3,8500.0,24000.0,4
Ogden,2010,Snowmobiler,Unknown,96.0,East,4,9100.0,12000.0,4
Salt Lake,2010,Natural,New Snow/Old Snow Interface,12.0,East,6,8300.0,10800.0,4
Uintas,2010,Natural,Unknown,42.0,North,6,10600.0,4800.0,4
Salt Lake,2010,Unknown,Facets,36.0,East,6,9800.0,8400.0,4
Uintas,2010,Natural,Depth Hoar,36.0,Northwest,6,10000.0,7200.0,4
Ogden,2010,Snowmobiler,Depth Hoar,30.0,East,10,10400.0,6000.0,4
Salt Lake,2010,Skier,Unknown,15.0,Southeast,24,10000.0,10800.0,5
Salt Lake,2010,Natural,Unknown,12.0,Northwest,11,10500.0,3600.0,11
Provo,2010,Skier,Density Change,14.0,Southwest,15,10300.0,1800.0,11
Salt Lake,2010,Skier,Facets,18.0,North,20,10500.0,8400.0,11
Salt Lake,2010,Skier,New Snow/Old Snow Interface,10.0,North,21,9800.0,2400.0,11
Salt Lake,2010,Skier,Graupel,12.0,Northeast,21,9200.0,2400.0,11
Salt Lake,2010,Skier,New Snow/Old Snow Interface,18.0,Northeast,21,9400.0,1500.0,11
Salt Lake,2010,Skier,Unknown,60.0,Northeast,22,10500.0,7200.0,11
Salt Lake,2010,Skier,New Snow,8.0,North,28,10100.0,5400.0,11
Salt Lake,2010,Natural,Ground Interface,12.0,Southeast,29,5100.0,240.0,11
Salt Lake,2010,Skier,New Snow/Old Snow Interface,10.0,East,29,10500.0,12000.0,11
Salt Lake,2010,Unknown,New Snow/Old Snow Interface,8.0,North,29,10200.0,3600.0,11
Uintas,2010,Unknown,Unknown,30.0,Northeast,3,10500.0,4200.0,12
Salt Lake,2010,Skier,Unknown,10.0,North,7,10300.0,2400.0,12
Uintas,2010,Natural,Density Change,14.0,East,7,1504.7824039817,49924.4881556048,12
Uintas,2010,Unknown,Facets,36.0,North,8,10500.0,9600.0,12
Salt Lake,2010,Unknown,New Snow/Old Snow Interface,8.0,South,10,8000.0,2400.0,12
Logan,2010,Snowboarder,New Snow,8.0,North,10,8200.0,360.0,12
Provo,2010,Natural,Graupel,12.0,East,12,9000.0,2400.0,12
Salt Lake,2010,Natural,Unknown,10.0,Southeast,12,10200.0,4800.0,12
Logan,2010,Snowboarder,New Snow/Old Snow Interface,10.0,North,17,8800.0,4800.0,12
Logan,2010,Skier,New Snow/Old Snow Interface,12.0,East,18,9200.0,3600.0,12
Salt Lake,2010,Skier,New Snow,7.0,West,18,10400.0,9600.0,12
Salt Lake,2010,Skier,Unknown,12.0,North,19,10000.0,9600.0,12
Uintas,2010,Natural,Density Change,14.0,Northeast,19,9800.0,480.0,12
Logan,2010,Unknown,New Snow/Old Snow Interface,12.0,West,19,7100.0,600.0,12
Salt Lake,2010,Skier,Unknown,18.0,Northeast,19,10100.0,3600.0,12
Uintas,2010,Skier,New Snow/Old Snow Interface,18.0,West,19,9000.0,2400.0,12
Salt Lake,2010,Natural,Unknown,10.0,North,21,9500.0,600.0,12
Logan,2010,Unknown,Unknown,24.0,Northeast,20,8800.0,2400.0,12
Salt Lake,2010,Skier,New Snow/Old Snow Interface,12.0,South,22,9500.0,1800.0,12
Salt Lake,2010,Natural,Density Change,8.0,Northeast,22,9900.0,6000.0,12
Salt Lake,2010,Natural,Density Change,8.0,Northeast,22,9300.0,4200.0,12
Uintas,2010,Natural,Density Change,36.0,North,22,10000.0,1200.0,12
Skyline,2010,Natural,Density Change,36.0,North,22,10000.0,15000.0,12
Ogden,2010,Natural,New Snow/Old Snow Interface,9.0,East,22,8100.0,2100.0,12
Salt Lake,2010,Skier,New Snow/Old Snow Interface,10.0,Northeast,25,10400.0,3600.0,12
Moab,2010,Natural,Facets,48.0,Northwest,23,11600.0,9600.0,12
Provo,2010,Natural,New Snow/Old Snow Interface,12.0,Northeast,22,9400.0,18000.0,12
Salt Lake,2010,Skier,New Snow,10.0,Northeast,27,10500.0,1200.0,12
Uintas,2010,Natural,Facets,36.0,Northwest,26,11000.0,9600.0,12
Uintas,2010,Natural,Density Change,36.0,North,26,11000.0,8400.0,12
Salt Lake,2010,Natural,Density Change,18.0,Northeast,29,9700.0,3600.0,12
Logan,2010,Skier,Surface Hoar,12.0,North,29,8700.0,3600.0,12
Salt Lake,2010,Skier,Unknown,20.0,Northeast,29,10400.0,4800.0,12
Salt Lake,2010,Skier,Density Change,36.0,East,29,9700.0,3000.0,12
Salt Lake,2010,Skier,Density Change,10.0,Southeast,30,8900.0,600.0,12
Logan,2010,Natural,Unknown,18.0,East,29,8200.0,3000.0,12
Salt Lake,2010,Snowboarder,Unknown,24.0,South,31,9400.0,1800.0,12
Logan,2010,Snowboarder,Density Change,8.0,East,31,8200.0,840.0,12
Provo,2011,Skier,Facets,24.0,South,1,8300.0,18000.0,1
Salt Lake,2011,Unknown,New Snow/Old Snow Interface,9.0,North,1,9800.0,4800.0,1
Ogden,2010,Natural,New Snow/Old Snow Interface,24.0,Southeast,29,8100.0,36000.0,12
Provo,2011,Skier,Density Change,12.0,Southeast,2,8000.0,6000.0,1
Uintas,2011,Unknown,New Snow/Old Snow Interface,12.0,Northeast,1,7100.0,240.0,1
Salt Lake,2011,Natural,New Snow,7.0,Southwest,6,9900.0,12000.0,1
Uintas,2011,Natural,Facets,30.0,Northeast,5,11000.0,7200.0,1
Logan,2011,Skier,Facets,12.0,East,11,7600.0,600.0,1
Moab,2011,Natural,Unknown,24.0,North,11,12200.0,1200.0,1
Ogden,2010,Natural,Unknown,24.0,Northeast,30,9000.0,30000.0,12
Provo,2011,Skier,Surface Hoar,7.0,North,12,8700.0,3600.0,1
Logan,2011,Skier,Surface Hoar,"12.0""",Northeast,13,7600.0,480.0,1
Logan,2011,Skier,New Snow/Old Snow Interface,10.0,Northeast,14,7400.0,1200.0,1
Salt Lake,2011,Snowboarder,New Snow/Old Snow Interface,6.0,East,14,10400.0,1800.0,1
Salt Lake,2011,Skier,Facets,6.0,Northeast,14,9400.0,2400.0,1
Salt Lake,2011,Skier,Surface Hoar,6.0,North,14,9100.0,3000.0,1
Salt Lake,2011,Skier,Facets,7.0,North,14,8600.0,600.0,1
Logan,2011,Natural,New Snow/Old Snow Interface,18.0,East,14,24245.7435308196,4975.1841660556,1
Ogden,2011,Skier,Surface Hoar,14.0,Northeast,15,8000.0,3600.0,1
Salt Lake,2011,Skier,Density Change,12.0,North,16,9000.0,720.0,1
Salt Lake,2011,Skier,Surface Hoar,6.0,North,15,9100.0,840.0,1
Salt Lake,2011,Natural,Facets,10.0,Southwest,17,9800.0,1800.0,1
Provo,2011,Natural,Unknown,10.0,Northwest,17,6000.0,4800.0,1
Moab,2010,Natural,Surface Hoar,24.0,Northeast,31,10600.0,2400.0,12
Uintas,2011,Natural,Surface Hoar,12.0,East,17,11000.0,9600.0,1
Salt Lake,2011,Unknown,New Snow/Old Snow Interface,12.0,East,19,8400.0,3600.0,1
Salt Lake,2011,Natural,Unknown,16.0,Northeast,22,10400.0,4800.0,1
Salt Lake,2011,Skier,New Snow/Old Snow Interface,12.0,North,22,8500.0,1200.0,1
Provo,2011,Snowmobiler,Surface Hoar,24.0,Northeast,23,9800.0,3600.0,1
Salt Lake,2011,Skier,Surface Hoar,18.0,East,24,10200.0,9600.0,1
Uintas,2011,Snowmobiler,Surface Hoar,18.0,North,22,10500.0,4800.0,1
Uintas,2011,Snowmobiler,Surface Hoar,66.0,North,23,9900.0,6000.0,1
Uintas,2011,Snowmobiler,Unknown,30.0,Northeast,23,9900.0,3600.0,1
Salt Lake,2011,Skier,Density Change,12.0,Southeast,26,10100.0,21000.0,1
Uintas,2011,Snowmobiler,Surface Hoar,20.0,Northwest,23,10200.0,3000.0,1
Uintas,2011,Snowmobiler,Surface Hoar,18.0,North,23,10200.0,3000.0,1
Provo,2011,Skier,Surface Hoar,18.0,East,28,9600.0,9600.0,1
Provo,2011,Skier,Surface Hoar,24.0,Northeast,27,9600.0,12000.0,1
Salt Lake,2011,Skier,Unknown,8.0,North,30,9000.0,1200.0,1
Skyline,2011,Snowmobiler,Unknown,12.0,East,29,10400.0,3600.0,1
Salt Lake,2011,Skier,New Snow/Old Snow Interface,12.0,Northeast,1,9200.0,3000.0,2
Salt Lake,2011,Skier,New Snow/Old Snow Interface,30.0,East,3,10300.0,5400.0,2
Salt Lake,2011,Skier,New Snow/Old Snow Interface,18.0,North,3,10000.0,2400.0,2
Skyline,2011,Natural,New Snow/Old Snow Interface,24.0,East,3,9300.0,7200.0,2
Salt Lake,2011,Skier,Facets,9.0,Northeast,5,9500.0,1800.0,2
Salt Lake,2011,Skier,Unknown,14.0,Southeast,6,10300.0,3000.0,2
Salt Lake,2011,Skier,Unknown,10.0,North,5,8400.0,9600.0,2
Logan,2011,Snowmobiler,Surface Hoar,24.0,Northeast,7,7400.0,960.0,2
Salt Lake,2011,Natural,Graupel,12.0,Northeast,8,9800.0,120.0,2
Provo,2011,Snowmobiler,Unknown,24.0,East,8,9500.0,6000.0,2
Logan,2011,Natural,Unknown,24.0,East,8,9400.0,2400.0,2
Logan,2011,Snowboarder,Density Change,16.0,East,10,8600.0,480.0,2
Salt Lake,2011,Skier,Unknown,18.0,North,14,9800.0,120.0,2
Salt Lake,2011,Skier,New Snow/Old Snow Interface,15.0,North,14,9500.0,480.0,2
Uintas,2011,Natural,Facets,36.0,North,18,10400.0,7200.0,2
Uintas,2011,Snowmobiler,Surface Hoar,36.0,Northeast,17,10200.0,7200.0,2
Salt Lake,2011,Skier,Unknown,12.0,Northwest,19,10000.0,3600.0,2
Salt Lake,2011,Skier,New Snow,15.0,Northeast,20,10000.0,2400.0,2
Provo,2011,Explosive,Density Change,36.0,Northeast,20,8400.0,7200.0,2
Salt Lake,2011,Natural,New Snow,30.0,North,20,8500.0,3000.0,2
Moab,2011,Skier,Facets,18.0,Northwest,19,9500.0,240.0,2
Salt Lake,2011,Natural,Unknown,24.0,Unknown,20,7800.0,3600.0,2
Logan,2011,Skier,New Snow/Old Snow Interface,14.0,Northwest,21,7400.0,480.0,2
Uintas,2011,Natural,Surface Hoar,30.0,North,20,10200.0,3600.0,2
Provo,2011,Skier,Facets,48.0,Northwest,20,7400.0,6000.0,2
Salt Lake,2011,Natural,Unknown,48.0,North,20,10000.0,9600.0,2
Salt Lake,2011,Explosive,Graupel,42.0,Northwest,23,10300.0,18000.0,2
Uintas,2011,Natural,New Snow/Old Snow Interface,36.0,Northeast,24,10200.0,4800.0,2
Salt Lake,2011,Snowboarder,New Snow,8.0,Northwest,28,10200.0,2400.0,2
Logan,2011,Natural,New Snow/Old Snow Interface,24.0,Northeast,26,9100.0,6000.0,2
Uintas,2011,Natural,Surface Hoar,36.0,East,26,10500.0,4800.0,2
Ogden,2011,Natural,Surface Hoar,60.0,Northeast,27,8200.0,36000.0,2
Salt Lake,2011,Unknown,Unknown,2.0,North,28,9600.0,2100.0,2
Logan,2011,Natural,Unknown,42.0,North,28,9000.0,18000.0,2
Logan,2011,Unknown,Unknown,48.0,Northeast,26,9400.0,6000.0,2
Salt Lake,2011,Skier,New Snow/Old Snow Interface,3.0,Northeast,2,9700.0,3600.0,3
Salt Lake,2011,Natural,Unknown,42.0,Northeast,2,10400.0,4800.0,3
Salt Lake,2011,Skier,New Snow,10.0,Northeast,3,10100.0,2100.0,3
Logan,2011,Skier,New Snow/Old Snow Interface,12.0,Southeast,6,7700.0,4200.0,3
Salt Lake,2011,Skier,New Snow/Old Snow Interface,16.0,Southwest,7,9300.0,15000.0,3
Ogden,2011,Natural,Unknown,48.0,Southeast,6,9100.0,30000.0,3
Ogden,2011,Skier,Surface Hoar,36.0,Northwest,5,9200.0,9600.0,3
Salt Lake,2011,Unknown,Ground Interface,16.0,West,8,5100.0,1080.0,3
Provo,2011,Natural,Unknown,60.0,North,7,10600.0,6000.0,3
Salt Lake,2011,Unknown,New Snow/Old Snow Interface,2.0,Northeast,8,9100.0,7200.0,3
Salt Lake,2011,Skier,New Snow/Old Snow Interface,24.0,North,9,9800.0,2400.0,3
Salt Lake,2011,Skier,Density Change,16.0,Northeast,9,10700.0,8400.0,3
Salt Lake,2011,Skier,Surface Hoar,18.0,East,8,9100.0,3600.0,3
Ogden,2011,Skier,New Snow/Old Snow Interface,12.0,East,10,7400.0,12000.0,3
Logan,2011,Snowboarder,Unknown,12.0,North,10,9200.0,1200.0,3
Uintas,2011,Snowmobiler,Surface Hoar,30.0,West,9,9200.0,3000.0,3
Salt Lake,2011,Skier,Unknown,8.0,Northwest,11,7200.0,4200.0,3
Logan,2011,Natural,Unknown,54.0,West,12,8400.0,8400.0,3
Salt Lake,2011,Skier,Density Change,10.0,Northeast,13,10400.0,9600.0,3
Ogden,2011,Natural,Unknown,36.0,North,11,9700.0,2400.0,3
Logan,2011,Skier,New Snow/Old Snow Interface,12.0,North,16,9200.0,4800.0,3
Logan,2011,Natural,Unknown,36.0,East,16,8500.0,21000.0,3
Salt Lake,2011,Skier,Density Change,6.0,East,18,9900.0,1200.0,3
Salt Lake,2011,Unknown,Unknown,16.0,Northeast,18,9600.0,1200.0,3
Uintas,2011,Natural,New Snow/Old Snow Interface,20.0,Northeast,17,10500.0,7200.0,3
Salt Lake,2011,Natural,Surface Hoar,72.0,Northeast,16,10700.0,6000.0,3
Salt Lake,2011,Natural,Unknown,10.0,North,19,9000.0,1200.0,3
Salt Lake,2011,Skier,New Snow/Old Snow Interface,7.0,North,20,10100.0,480.0,3
Salt Lake,2011,Snowboarder,New Snow/Old Snow Interface,10.0,Northeast,20,10100.0,1200.0,3
Salt Lake,2011,Skier,Density Change,12.0,North,20,10000.0,2400.0,3
Salt Lake,2011,Skier,New Snow,6.0,Northeast,20,8300.0,360.0,3
Salt Lake,2011,Skier,Density Change,10.0,Northeast,22,10400.0,7200.0,3
Provo,2011,Natural,Density Change,24.0,Northeast,22,9900.0,12000.0,3
Logan,2011,Natural,Surface Hoar,42.0,North,22,9200.0,9600.0,3
Salt Lake,2011,Skier,New Snow/Old Snow Interface,12.0,North,22,10700.0,6000.0,3
Provo,2011,Unknown,New Snow/Old Snow Interface,16.0,Northeast,22,9500.0,3600.0,3
Salt Lake,2011,Natural,Facets,48.0,North,21,9700.0,15000.0,3
Logan,2011,Natural,Facets,96.0,North,22,9600.0,9600.0,3
Logan,2011,Natural,New Snow/Old Snow Interface,36.0,Northeast,22,9000.0,7200.0,3
Logan,2011,Natural,Unknown,42.0,Northeast,22,9300.0,7200.0,3
Salt Lake,2011,Skier,New Snow/Old Snow Interface,6.0,North,25,9700.0,360.0,3
Ogden,2011,Skier,Surface Hoar,30.0,North,25,8100.0,480.0,3
Salt Lake,2011,Snowmobiler,Unknown,12.0,East,24,8300.0,2400.0,3
Salt Lake,2011,Natural,Unknown,60.0,East,25,9400.0,15000.0,3
Salt Lake,2011,Skier,New Snow,9.0,East,26,9000.0,2400.0,3
Salt Lake,2011,Snowboarder,New Snow/Old Snow Interface,5.0,South,26,8900.0,9600.0,3
Salt Lake,2011,Skier,Unknown,10.0,East,27,9800.0,1800.0,3
Provo,2011,Natural,Unknown,2.0,East,27,9900.0,4800.0,3
Provo,2011,Natural,Unknown,72.0,Northeast,28,10800.0,48000.0,3
Salt Lake,2011,Natural,New Snow/Old Snow Interface,24.0,Southeast,29,10100.0,12000.0,3
Logan,2011,Skier,New Snow/Old Snow Interface,12.0,West,29,7500.0,2400.0,3
Provo,2011,Natural,Facets,72.0,Northeast,27,11200.0,36000.0,3
Ogden,2011,Snowmobiler,New Snow,15.0,East,29,9200.0,4800.0,3
Salt Lake,2011,Skier,New Snow/Old Snow Interface,16.0,West,29,10300.0,7200.0,3
Logan,2011,Natural,Unknown,18.0,Southeast,31,9300.0,12000.0,3
Logan,2011,Natural,Unknown,30.0,East,31,9500.0,7200.0,3
Uintas,2011,Natural,Unknown,10.0,East,1,11300.0,7200.0,4
Salt Lake,2011,Unknown,Ground Interface,48.0,East,4,9000.0,360.0,4
Provo,2011,Natural,Density Change,12.0,Southeast,4,10000.0,12000.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,4.0,Southeast,6,10000.0,6000.0,4
Salt Lake,2011,Skier,Density Change,6.0,East,8,9800.0,9600.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,8.0,North,8,7900.0,3600.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,12.0,Northeast,8,9400.0,1200.0,4
Salt Lake,2011,Skier,New Snow,10.0,Northeast,10,10500.0,7200.0,4
Logan,2011,Natural,New Snow/Old Snow Interface,6.0,East,10,9300.0,6000.0,4
Logan,2011,Snowmobiler,New Snow/Old Snow Interface,6.0,East,10,9300.0,6000.0,4
Logan,2011,Unknown,New Snow/Old Snow Interface,5.0,East,10,8700.0,1200.0,4
Logan,2011,Natural,Facets,24.0,Southeast,10,7800.0,12000.0,4
Logan,2011,Unknown,New Snow/Old Snow Interface,16.0,East,11,9300.0,1500.0,4
Provo,2011,Natural,Unknown,36.0,North,9,10600.0,36000.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,12.0,North,14,9700.0,3600.0,4
Salt Lake,2011,Skier,Density Change,15.0,Southeast,14,10400.0,8400.0,4
Salt Lake,2011,Skier,New Snow,6.0,Northeast,14,9800.0,1200.0,4
Salt Lake,2011,Snowboarder,New Snow/Old Snow Interface,12.0,North,16,8700.0,7200.0,4
Logan,2011,Skier,Unknown,10.0,East,18,7600.0,3600.0,4
Salt Lake,2011,Unknown,Unknown,60.0,Northeast,19,9200.0,9600.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,10.0,Northeast,19,10000.0,5400.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,12.0,North,19,10200.0,6000.0,4
Salt Lake,2011,Snowshoer,Unknown,12.0,East,18,9200.0,2400.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,10.0,West,19,10200.0,4200.0,4
Salt Lake,2011,Snowboarder,Unknown,8.0,Southeast,21,9600.0,3600.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,8.0,Southeast,22,8500.0,3000.0,4
Salt Lake,2011,Skier,Graupel,12.0,East,22,10100.0,3000.0,4
Salt Lake,2011,Natural,Facets,48.0,East,22,10000.0,9600.0,4
Logan,2011,Natural,New Snow/Old Snow Interface,12.0,East,18,8400.0,12000.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,10.0,North,22,10200.0,7200.0,4
Salt Lake,2011,Skier,New Snow,6.0,North,26,9700.0,2400.0,4
Salt Lake,2011,Snowboarder,Surface Hoar,1.0,Northeast,27,9300.0,3600.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,6.0,Northeast,27,10400.0,18000.0,4
Salt Lake,2011,Skier,New Snow/Old Snow Interface,18.0,South,27,10200.0,30000.0,4
Provo,2011,Skier,New Snow/Old Snow Interface,12.0,East,27,11300.0,21000.0,4
Logan,2011,Skier,New Snow/Old Snow Interface,6.0,North,30,7800.0,2400.0,4
Ogden,2011,Natural,Unknown,42.0,East,11,9400.0,27000.0,5
Salt Lake,2011,Skier,New Snow/Old Snow Interface,9.0,Northwest,17,10000.0,360.0,5
Salt Lake,2011,Skier,New Snow/Old Snow Interface,8.0,East,20,9600.0,4800.0,5
Salt Lake,2011,Skier,Unknown,6.0,South,2,9500.0,5400.0,6
Salt Lake,2011,Skier,Unknown,12.0,Northeast,6,10000.0,600.0,11
Salt Lake,2011,Skier,Facets,8.0,Northeast,7,9800.0,600.0,11
Salt Lake,2011,Snowboarder,Facets,12.0,Northeast,12,9200.0,2400.0,11
Logan,2011,Natural,Facets,12.0,North,12,8500.0,3000.0,11
Salt Lake,2011,Skier,Ground Interface,16.0,Northeast,13,10400.0,4800.0,11
Salt Lake,2011,Skier,Facets,20.0,North,13,10000.0,6000.0,11
Salt Lake,2011,Skier,Unknown,18.0,East,13,10000.0,2400.0,11
Salt Lake,2011,Skier,Unknown,12.0,North,13,9700.0,1800.0,11
Salt Lake,2011,Skier,Unknown,12.0,North,12,10500.0,720.0,11
Salt Lake,2011,Skier,Facets,30.0,North,13,10400.0,360.0,11
Salt Lake,2011,Snowboarder,Depth Hoar,16.0,Northwest,13,10300.0,9600.0,11
Salt Lake,2011,Skier,Unknown,22.0,North,13,10200.0,4800.0,11
Salt Lake,2011,Skier,Ground Interface,6.0,Northeast,12,9200.0,960.0,11
Salt Lake,2011,Skier,Unknown,20.0,Northwest,13,9600.0,6000.0,11
Salt Lake,2011,Natural,Unknown,14.0,Northeast,13,10000.0,9600.0,11
Logan,2011,Natural,Facets,24.0,North,14,8800.0,2400.0,11
Salt Lake,2011,Natural,Unknown,12.0,Northeast,14,10000.0,9600.0,11
Salt Lake,2011,Unknown,Facets,20.0,East,13,10200.0,3000.0,11
Salt Lake,2011,Natural,Facets,18.0,North,13,10000.0,6000.0,11
Salt Lake,2011,Skier,Facets,36.0,Northwest,20,10100.0,8400.0,11
Salt Lake,2011,Skier,Ground Interface,42.0,North,20,9600.0,960.0,11
Salt Lake,2011,Unknown,Unknown,24.0,North,25,10100.0,3000.0,11
Moab,2011,Natural,Facets,9.0,Northeast,16,11200.0,7200.0,12
Salt Lake,2011,Skier,Surface Hoar,8.0,North,17,10400.0,2400.0,12
Salt Lake,2011,Skier,Facets,6.0,Northeast,17,9800.0,1500.0,12
Salt Lake,2011,Skier,Facets,12.0,East,22,10000.0,1080.0,12
Salt Lake,2011,Natural,Facets,18.0,Northeast,22,10000.0,8400.0,12
Salt Lake,2011,Skier,Surface Hoar,10.0,Northeast,23,10500.0,4200.0,12
Salt Lake,2011,Skier,Unknown,9.0,North,26,9400.0,2100.0,12
Salt Lake,2011,Skier,Facets,8.0,Northeast,26,10200.0,2100.0,12
Salt Lake,2011,Skier,Facets,4.0,North,26,10300.0,1800.0,12
Salt Lake,2011,Skier,Unknown,15.0,Northeast,31,10000.0,9600.0,12
Salt Lake,2011,Snowboarder,Unknown,8.0,Northeast,31,9500.0,3000.0,12
Logan,2012,Skier,Facets,14.0,East,1,8400.0,3000.0,1
Salt Lake,2011,Natural,Depth Hoar,12.0,North,31,10000.0,6000.0,12
Salt Lake,2012,Skier,Unknown,12.0,Northeast,2,9200.0,8400.0,1
Ogden,2011,Natural,Facets,6.0,Northeast,31,8300.0,1200.0,12
Salt Lake,2012,Skier,Facets,10.0,North,2,10800.0,4200.0,1
Salt Lake,2012,Natural,Unknown,12.0,North,3,9400.0,6000.0,1
Salt Lake,2012,Skier,New Snow,8.0,East,8,9600.0,2400.0,1
Provo,2012,Skier,Unknown,12.0,East,3,10000.0,3600.0,1
Provo,2012,Skier,New Snow/Old Snow Interface,14.0,East,9,10000.0,6000.0,1
Salt Lake,2012,Skier,Facets,18.0,Northeast,11,10300.0,3000.0,1
Salt Lake,2012,Natural,Unknown,8.0,Northeast,9,9700.0,4800.0,1
Salt Lake,2012,Unknown,Unknown,24.0,Northeast,2,9700.0,4800.0,1
Salt Lake,2012,Skier,Unknown,4.0,North,15,9300.0,840.0,1
Ogden,2012,Skier,Facets,36.0,Northeast,17,9800.0,4800.0,1
Logan,2012,Skier,Unknown,12.0,East,18,8900.0,6000.0,1
Salt Lake,2012,Natural,New Snow,6.0,North,19,9800.0,8400.0,1
Salt Lake,2012,Skier,Facets,15.0,North,19,9800.0,2400.0,1
Salt Lake,2012,Skier,Depth Hoar,18.0,East,19,9600.0,360.0,1
Salt Lake,2012,Natural,Facets,8.0,East,19,10200.0,3600.0,1
Logan,2012,Natural,Facets,12.0,West,19,6900.0,1800.0,1
Salt Lake,2012,Skier,Unknown,14.0,Northeast,19,9800.0,10800.0,1
Salt Lake,2012,Skier,Facets,7.0,Northeast,19,10000.0,7200.0,1
Salt Lake,2012,Skier,Facets,22.0,East,19,10300.0,10800.0,1
Salt Lake,2012,Skier,Unknown,12.0,West,19,8800.0,4200.0,1
Salt Lake,2012,Unknown,Depth Hoar,36.0,East,20,10200.0,6000.0,1
Salt Lake,2012,Skier,Facets,42.0,Northeast,20,10000.0,8400.0,1
Salt Lake,2012,Snowboarder,Depth Hoar,42.0,Northeast,20,9500.0,3600.0,1
Salt Lake,2012,Skier,Facets,13.0,Northeast,20,9000.0,1200.0,1
Salt Lake,2012,Skier,Facets,12.0,Northwest,20,8700.0,720.0,1
Skyline,2012,Skier,Facets,30.0,East,20,9500.0,1800.0,1
