Date,Region,Place,Trigger,Trigger: additional info,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed,Accident and Rescue Summary,Terrain Summary,Weather Conditions and History,Comments 1,Comments 2,Comments 3,Comments 4,Depth_Inches,Width_Inches,Vertical_Inches,Elevation_Feet
2/3/2017,Logan,Cowley Canyon,Natural,,,,100',300',East,"6,200'","41.772233182206, -111.622265862550",,,,,,,,,,"We noticed this series of wet slides this morning on our way up Cowley Canyon.  This was just about a quarter of a mile past the Camp Lomia Lodge.  We were pretty impressed by the amount of debris that piled up in not much vert of sliding snow.  The avalanche made it just about to the snowmobile trail, but stopped before it became a problem for anyone.  Definitely gave us a good heads up for the day. 

We ended up riding in the Logan Peak area and found surprisingly good riding conditions in sheltered terrain.  The wind had done some severe damage on many slopes. Even some heavily wooded slopes had a significant amount of wind damage and debris blown out of the surrounding trees.  If you could find slopes that weren’t scoured from the wind, the 6 inches of new snow was nice and creamy.  When we left for home at around 1:00 the snow surface was still cold and dry. 

We did not find any significant signs of avalanches anywhere we rode.  We tested many slopes on all aspects on the northern half of the compass and only had one small 6 foot pocket pull out on a 45 degree west facing wind loaded slope around 8200.  The 10 inch slab only traveled a short distance and stopped without propagating onto other slopes. 
",,,,,1200.0,3600.0,6200.0
3/23/2013,Salt Lake,West Monitor,Skier,Remotely Triggered,New Snow/Old Snow Interface,"22""",40',500',East,"9,500'",,,,,,,,,,,"This classic sympathetic slide went off 30 feet away when I was 4 turns in on the upper low-angle ramp above the start zone. (see photos) 
My guard was down a bit so this suprised me.  Fortunately I was skiing on lower angle terrain above.  Classic rollover 30 feet to my right
was of concern and sure enough.  You can see that the wind deposition piled up around the rock band(photo) was the starting zone 
pulling out left and right. (photo)   This low density fast moving slide produced an impressive blower cloud near the skin track at the bottom.  
This steep terrain slides historically.  You can see the old slide during the warm weather event to the right(south) from 10 days earlier in one of the photos.  ",,,"Sorry this is two days late...good historical data at any rate...
My take on this avy I started was this....I let my guard down a bit after skiing solid north facing runs during the am then going to the
east facing warmed and frozen snow surface facing east.. It also had wind deposition in the start zone near the rock band.  All  fairly predictable really. pjm",22.0,480.0,6000.0,9500.0
2/23/2019,Ogden,Ogden,Unknown,,,2',100',"1,000'",Northeast,"8,700'","41.425416554044, -111.975681768910",,,,,,,,,,"This is just north of the far north end of the North Fork drainage above Perry Lake. My guess is this avalanche occurred sometime last Saturday afternoon or evening, but maybe later. I was skiing in the Cutler Ridge area then and the winds were very strong from the SW and snowing lightly. Since then it has been windy but not as intense I don't think. Really hard to say on that though. I was in this area last Fri. and did not see any signs of recent avalanches then. This was clearly a hard slab by the size of the snow chunks way down the slope. It almost ran full track but not quite. 1000' of 1200'. The cornice on the ridge is massive! There is some new snow with some more wind so it's hard to tell especially from a distance but it looks to be at least 2' deep and about 100' wide. I snuck in the far skiers right side of the path and skied to the bottom. Overcast clouds came in when I got ther and the lighting wasn't that good but I got some zoomed in photos from the starting zone on my skin out and some from the top.
",,,,24.0,1200.0,12000.0,8700.0
2/16/2021,Salt Lake,White Pine,Natural,Unintentionally Triggered,Facets,,,,South,,"40.588146009684, -111.691560732430",,,,,,,,,,"D2
",,,,,,,
2/1/2020,Salt Lake,Mill B South,Snowboarder,,,3',200',,West,"10,500'","40.597888130778, -111.669695364540",,,,,,,,,,"This is an update to my previous avalanche report as that was quick and dirty. This avalanche occured early in the morning Feb 1st as myself plus one were skinning just below the rocks on the Western side of Cardiac Ridge. Neither of us heard or felt the avalanche, but as I was checking behind to see where my partner was I saw a significant crown just behind him that had released right where the skin track was put in. The avalanche was roughly 200 ft wide by 200 ft long and slid about 400 vertical feet. Crown looked like it ranged from 1-3 ft deep. It was hard to estimate depth of debri pile, but looked deep enough to bury somebody.
",,,,36.0,2400.0,,10500.0
12/13/2009,Logan,road side,Unknown,,Facets,"16""",,,,,"0.000000000000, 0.000000000000",,,,,,,,,,I noticed evidence of widespread natural avalanches from 12/13 at mid-elevations.  These are next to the Tony Grove Road between abo,I triggered numerous heart stopping collapses and shooting cracks on the slope just above the Tony Grove Campground....,"As I moved into an opening, there would be a whumf and cracks would instantly form up to 50 or 60 feet away from me.",,16.0,,,
1/6/2010,Logan,Crescent Lake-Steep Hollow Ridge,Skier,Intentionally Triggered,Facets,"18""",90',,North,"8,900'","41.977869000000, -111.638432000000",,,,,,,,,,I triggered this sizable avalanche by knocking a small cornice onto the slope while holding onto the strong green branches of a ridge-top spruce....,I wasn't really surprised that I triggered an avalanche on this suspect wind loaded slope....But I was a bit surprised by both the size of the avalanche and the sensitivity and propagation of the slab.,,And here I am documenting the event on my cell phone camera....,18.0,1080.0,,8900.0
2/25/2022,Ogden,Hells Canyon,Skier,,,"6""",100',,North,"7,000'",,,,,,,,,,,"Came down to this slide path, easily deep enough to burry somebody, pulled out my beacon and got nothing thank god, looked to be about the 6 inches of snow we got overnight, very dry fluffy low density snow 
",,,,6.0,1200.0,,7000.0
4/5/2023,Ogden,Ben Lomond Headwall,Natural,Cornice Triggered,New Snow,8',"1,500'",,Northeast,"9,200'","41.369924070723, -111.966465465950",,,,,,,,,,"Saw this avalanche during our walk yesterday. I've seen this slope now avalanche at least three times this season. 
",,,,96.0,18000.0,,9200.0
1/13/2014,Skyline,Monster,Snowmobiler,,Facets,4',300',200',Northeast,"10,400'","39.297953000000, -111.472499000000",2.0,2.0,1.0,,,,,,,"A snowmobiler was climbing a hill and he got stuck.  A second sledder parked below and was walking up the track of his stuck buddy.  A third climbed up and was a little higher than the stuck sledder when the slab released.  The sledder that triggered the slide was able to grab the throttle and out run the avalanche.  The other two were caught.  The original stuck rider reported that he was doing backstroke swimming motions to help keep above the surface.  He briefly submerged but popped up again.  The rider that was walking up the sled track was caught, carried a short distance and buried to his waist.  Everyone ended up uninjured and rode home.
",The crown face ranged from 3 to 5 feet deep.,,There were very large chunks in the debris since the avalanche didn't run very far.,48.0,3600.0,2400.0,10400.0
3/20/2011,Salt Lake,Hide A Way Park,Skier,,Density Change,"12""",50',200',North,"10,000'","40.602736000000, -111.631866000000",,,,,,,,,,Couple of slides in the upper portion of Hide A Way in the usual places.  No mystery here.  Fresh wind drifted snow landing on low density new snow as the weak layer.  Looked like ski tracks poking around the starting zones so assuming that these were human triggered.  Slopes were already being re-loaded.,,,,12.0,600.0,2400.0,10000.0
1/6/2015,Logan,South Hollow,Natural,,,"6""",20',400',Southeast,"8,800'","41.695295661213, -111.693127142510",,,,,,,,,,We headed up Prov Canyon today to check the conditions.  On the way up we noticed an old wind slab avalanche from the wind event last Tuesday.  The slide occurred on a steep South facing slope at the bottom of the gravel pit.,We noticed some significant wet sluffs in South Hollow.  The slides started as wet snow fell off some cliffs and fanned out to 15 to 20 feet.  The slides ran on a southeast facing slope between 8800 and 8200 feet and left a 2-3 pile of debris at the bottom.  ,We found the best riding on slopes face northeast to southeast.  The Southeast facing slopes started getting pretty wet at mid-day and produced decent sized rollerballs on steep slopes.  ,"We headed up to Millville Peak and dug a pit at about 9100 feet on a Northwest facing, 38 degree slope.  Pit tests showed a compression test failure on 26 hits on a graupel layer down about 10 inches.  With one additional tap, the column failed on the interface layer between old November snow and the solstice storm snow down about 22 inches on 1-2mm facets.  Extended Column tests failed on the faceted layer on about 27 taps but did not propagate (ECTN26).  Total snow depth at 9100 feet is around 40 inches.",6.0,240.0,4800.0,8800.0
1/10/2014,SE Idaho,Pebble Creek Backcountry,,,,,,,,,,,,,,,,,,,"Here's a report from my friends who hiked up to the backside this a.m.  They dug a put just south of the Lama/northside of the saddle (accessed by the bomb trail).  As you can see below, they had column and extended column failure at CT=1.

 

Just one aspect (N-NE), and just one pit, but I thought you should know about it, and let hikers know about it as you see them.

 

Coming back down the front side, they noted that the avalanche-prone area above Stacy's had slid, but presumably this was due to control work?

 

See you tomorrow.

 

Keith

 

 

REPORT:

This morning 01.10.13 we hiked up to the backside via the bomb trail. There was good coverage most of the way but also an unfortunate tortilla-like, easily breakable sliver of ice on the ungroomed snow surface. The groomers were icy too. The only stellar snow was in the trees fairly high on the frontside slope (above 8000 ft.). Once over the top we descended 50-100 feet and on a Northern to NE aspect which was 25 degrees approximately we dug a pit. There is a very reactive layer right now about 8in. in depth. The column tests failed early, quickly, and in a alarming planar manner. With snow and especially wind set to arrive later today/tomorrow, please be careful out there. I wouldn't be surprised to hear of slides occurring. We saw Ryan Butterfield on our descent so maybe someone should check in on him. He was alone. Here are the stats:

General observations: 

The snow pack was 85 cm were we dug. We were just south/sw of the llama. The slope was about 25 degrees facing NE. The wind was blowing from the south/sw at a good clip. I didn't have a gage but the weather reports says 25 mph. There were several faceted layers: The first was about 8cm from the surface and the second was near the bed surface approximately 55 cm in depth.
 

Column test:

CT1 Q1 The strength of the identified layer (about 8cm deep) was super weak. The column collapsed very easily (immediately) on a faceted layer..maybe buried surface hoar. When I continued the column test the next failure occurred at CT12. We did not determine the quality of the shear as it occurred on the ground

 

Extended column test:
ECT1 Q1. Alarming failure. Reactive. Fracture extend 60cm laterally (i.e., the whole column--see image attached). This was the same layer as discussed above.  When I continued the test, no further failures were noted
",,,,,,,
12/13/2009,Provo,Provo,Natural,,Facets,"15""",30',500',Northwest,"6,100'","40.350927000000, -111.577749000000",,,,,,,,,,This slide occurred mid day during a period of very high PI.  It crossed the Provo Canyon bike trail and hit the Provo River.  ,"I was in Provo in the morning and late in the day, and in LCC mid day. Everywhere I walked, I experienced collapsing and cracking on all aspects and elevations. The balance has been tipped today and I expect there was a widespread natural cycle. In Grizzly Gulch we saw naturals just after they happened on the steep N facing Patsy Marley ridgeline as the wind and precip picked up around noon. Attached is a photo of a test slope that collapsed and propagated 60'. Most everything was failing at the extremely weak facets at or just above the ground. This problem is not going away any time soon and I expect to see many repeater slides.",,,15.0,360.0,6000.0,6100.0
12/17/2015,Salt Lake,Dutch Draw,Natural,,Depth Hoar,2.5',200',700',Northeast,"9,800'",,,,,,,,,,,"Well, we finally fulfilled the recipe for a slab avalanche.  Observed some natural activity in Dutches today.  SS-N-R2-D2.5-O/G in High Dutch path overnight last night.  Also sympathetic releases on each side of the main path, all in pockets that face NE.  Sometime around noon today SS-N-R1-D2-O/G in the goalpost area just south of conehead, with another sympathetic pocket release to the south.  Impressive continuity of the weak layer and slab as evidenced by the sympathetic releases.  First pics are of the overnight release, last pic is the noontime release.",,,,30.0,2400.0,8400.0,20300.659428980704
2/20/2011,Provo,Big Springs,Skier,Unintentionally Triggered,Facets,4',50',500',Northwest,"7,400'","40.305614000000, -111.546206000000",2.0,1.0,,1.0,,,Two male ski tourers were ascending the Big Springs drainage. About 2.7 miles from the parking lot they started to divert off the main trail and ascend toward a ridge. They were making switchbacks up a slope when they triggered an avalanche. The avalanche propagated about 300 feet above them. One skier was able to grab a tree and avoid taking the ride which the other skier did. He took about a 300 foot ride and was strained through some aspens and completely buried near the toe. His partner who did not go for a ride located him with an avalanche transceiver and dug him out from under about 4 feet of snow. He was uninjured and they were able to return to the parking lot on their own.,,,"A couple of things to note here.  This accident occurred during the heaviest snowfall.  It demonstrates how avalanche conditions can spike during times of high precipitation intensity.
If you choose to travel in the backcountry during periods of high danger it is imperative that you travel on ridges where there is no avalanche terrain above you.  Drainage bottoms and any steep slopes should be avoided.  The slope that these skiers were ascending was not all that intimidating.  However, even the most unassuming slopes can be lethal during a violent storm like was occurring.",,,,48.0,600.0,6000.0,7400.0
5/11/2011,Ogden,Ogden,Natural,Cornice Triggered,,3.5',250',"2,250'",East,"9,400'","41.379771000000, -111.973472000000",,,,,,,,,,"Saw this slide on my drive home today.  Went up Cutler Ridge to get a better look.
The second photo below tells the story.  It looks like a cornice broke off of the ridge, triggering a small slab just off the ridgeline.  This mass of snow tumbled downhill, trigger the much larger wet slab below.  Despite only being 250 feet or so wide, it entrained a lot of snow throughout the path, triggering several sympathetic slabs below (see third photo).  After running through a deep gully, the debris fanned out in several branches, and developed one deep channel that deposited the two branches on the left.
My best guess is that it came down with this morning's sun, but it may have happened Wednesday.
The approach to Cutler wasn't too bad.  Had to walk about 15 minutes from the trailhead before getting on snow. While the sun was out, the snow surface was very wet and saturated.  Perfect ""push-a-lanche"" snow.  The snow quickly developed a surface freeze when the sun set behind the ridge.",,,"Also observed dozens of other point releases like the photos below. I was impressed with the amount of debris created by these slides. Individual roller balls coming off of the upper ridgelines were able to entrain enormous amounts of snow, often running 1000' or more vertical feet. Also heard some rockfall on southerly aspects.",42.0,3000.0,27000.0,9400.0
2/22/2023,Salt Lake,Suicide Chute,Explosive,,,,200',,Southeast,"10,200'",,,,,,,,,,,"Gambled our way up to Suicide this morning hoping it would be wind sheltered enough to be good. It was not. 

2/3 of the Superior apron had debris covered with last night's snow about 100-200' wide. This was almost certainly caused by control work performed during the middle of the storm cycle. Felt fine heading up into the bottom of suicide as everything above us had already slid, but once in suicide it was a mix of sluff debris and then more cracking / collapsing everywhere else, especially the skiers left wall of the chute. 

Turned around about 1/3 way up the chute and at the time visability was slightly obscured to the top by clouds and flat light. My assumption is it will settle out quickly, but didn't feel like it had settled yet. 
",,,,,2400.0,,10200.0
3/6/2019,Skyline,Chute Camp Site,Natural,,,,,,Northeast,"9,200'","39.570658352220, -111.188421236660",,,,,,,,,,"Strong wind was the most likely reason this avalanche released.  This is the second time this season that this path has released and crossed the creek with debris coming close to the road.  It is likely that the old bed surface faceted which provided the weak layer for this avalanche.
",,,,,,,9200.0
4/1/2023,Salt Lake,East Kessler,Unknown,,,,,,East,"10,000'","40.624294515075, -111.668472277240",,,,,,,,,,"We observed a large avalanche in Cardiff fork that crossed the road below the East couloir of Kessler. Debris was stacked on the road and into the creek below. The more southern part of the avalanche path (more towards the catchers mitt) didn't run.

 

Because part of the path didn't run, we chose not to cross this area (heading up Cardiff) and we bailed. Sorry we couldn't see much from the edge of the slide path so, I don't have a ton of details about the slide.
",,,,,,,10000.0
1/3/2020,Salt Lake,Microwave,Snowboarder,,,"18""",60',,Southwest,"9,400'","40.590199158683, -111.617188440880",,,,,,,,,,"A cohesive layer of snow about 18 inches deep slid roughly 150 feet on a crust layer likely formed during the warm cycle just prior to the recent storm.

 

As party of two was booting with verts up subridge, they triggered this slab in the adjacent chute. Slab released on new-old snow interface. Fortunately no one was caught or carried. Slide ran several hundred yards
",,,,18.0,720.0,,9400.0
12/11/2016,Provo,Elk Point,Natural,,Density Change,"12""",30',,Northeast,"10,600'",,,,,,,,,,,"Size 2 natural reported out of NE chute of Elk Point overnight Saturday into Sunday morning.
",,,,12.0,360.0,,10600.0
12/17/2012,Salt Lake,Brighton Hill,Natural,Cornice Triggered,New Snow/Old Snow Interface,"10""",5',50',North,"9,600'","40.604732000000, -111.570325000000",,,,,,,,,,"Strong winds this morning were having their way with our low density snow from the weekend.  North slopes were loading at a rapid pace and on the south side of the ridge it has been scrubbed down to almost the brush and rocks depending on the exposure to the wind.  Stiff wind slabs were all along the ridge so I expected to see something, I was just surprised it was not bigger.  It appeared  that a natural cornice drop had triggered a small wind slab just off the ridge. It kind of just gouged a trench down into the trees below and stopped. Sorry no pictures, to dang cold to get any.",,,,10.0,60.0,600.0,9600.0
4/29/2017,Salt Lake,Tanners Gulch,Natural,Remotely Triggered,Graupel,4',250',,Southeast,"8,600'",,,,,,,,,,,"Natural SS-NS-r-R2-D2 this morning around 5:00 am in tanners which was triggered remotely from another slide.  Graupel was the weak layer which pooled off the SE rocks. Number one concern this morning as expected were windslabs on SE aspects from the NW winds. Figured I could avoid some of the winds by staying in the mid canyon area. However they were blowing just as hard as upper canyon or valley locations. Winds shifted overnight from NNW to ESE at some weather stations. Transport noticed down to 7500'. Wrong terrain for the conditions. Red flags....wind loading, recent avalanches,and possible poor snow pack structure where grapnel is. Another stand out is the three other events recently with, Chris on LSB, Aaron on Flag and Mark's slide on Cardiff Bowl which was graupel related too. Large direct action avalanches like wind slabs can be just as dangerous as persistent weak layer deep slabs.  
",,,,48.0,3000.0,,8600.0
12/8/2012,Salt Lake,Banana Days,Skier,Unintentionally Triggered,Facets,2',60',600',North,"10,300'","40.606915000000, -111.643667000000",,,,,,,,,,"Toward the end of a long day of spelunking I triggered what initially seemed like a storm snow avalanche at the top of a short, steep, rock-lined gully in upper Banana Days.  I was deliberately ski cutting the top of this slope when a 10' wide, 1' deep, very soft slab released at my feet, running into the choke of the gully below me.  Below the narrowest portion of this slope, the weight of the debris released a wider avalanche below cliff bands on either side of the narrows.  On the skier's right side of this sympathetic release, the slab failed in pooled graupel that likely accumulated during one of the graupel events in the latter half of this week, and the crown in this portion of the slide was about 16 inches deep; on the skiers left side, a 20-foot wide, 2' soft slab failed on the faceted snow that sat atop the snowpack for several weeks in mid/late November.  The debris from this slide entrained quite a bit of snow, ran until the slope angle decreased significantly, and could have buried a person.  Although it was a crowded day in Silver/Days, nobody was in the area when this slide occurred.  

This slide occurred during what was likely the peak of instability during a day of moderate-heavy snowfall.  Several density changes were noted throughout the day, with heavily rimed flakes and clean, angular stellars falling in consecutive periods.  What initially seemed like a short, manageable portion of complex terrain worth navigating in order to harvest the pow-pow below, was in immediate hindsight a perfect spot to activate a couple of distinct buried weak layers.  The ""November Facets,"" which have lacked a sufficient load to propagate clean shears in snowpit tests, showed their potential with the help of significant shock-loading, and I would not be surprised if additional snow-n-blow overnight makes avalanches failing on this layer-as well as wind slabs and storm snow avalanches failing on buried graupel or various crusts-easier to trigger tommorow.  I would consider midslope terrain features, on NW-N-NE facing slopes above about 10,000', which may have been sheltered during recent wind/rain events, to be most suspicious for possible persistent slab avalanches.

I reported this slide to Alta Central, and it was in turn reported to the UAC, as a 1' deep, 50 foot wide avalanche.  Drew's snowpit is an accurate representation of the snowpack I found in the crown of this slide.  ",,,,24.0,720.0,7200.0,10300.0
3/8/2010,Ogden,Weber Canyon,Skier,Unintentionally Triggered,New Snow/Old Snow Interface,"14""",,250',Northeast,"10,000'","40.830145000000, -111.072464000000",1.0,1.0,1.0,,,,,,,"Skier triggered soft slab on a steep, NE aspect at 10,000' in upper Weber Canyon. Strong weekend winds coupled with 14"" of new snow has made for tricky, albeit pockety avalanche conditions in steep, windloaded terrain.",,,,14.0,,3000.0,10000.0
12/10/2016,Provo,Cascade Ridge,Natural,,Facets,4.5',300',,East,"10,400'",,,,,,,,,,,"Large natural cycle reported by UDOT Provo
",,,,54.0,3600.0,,10400.0
3/26/2020,Logan,Rock Bowl,Snowboarder,Unintentionally Triggered,New Snow/Old Snow Interface,"15""",70',400',East,"9,100'",,,,,,,,,,,"We rode in the Tony Grove area today.  We found very sensitive conditions on east facing slopes.  The snow has not bonded well to the underlying crust from last week.  While riding Rocky bowl, we kicked of a medium sized slab about 70 feet wide and 15 inches deep (Picture 1 and 2).  I was able to get out to a safe zone and watch as the avalanche ran to a bench about 400 feet below.   We move to a slightly mellower angled slope to the south, which was also east facing, and had a crack propagate about 100 feet and opened up a 2 inch wide crack but did not slide.  We kicked off a few smaller slab avalanches that only involved the top 4-6 inches of snow (lower avalanche on the 2nd picture, and also in the third picture).  We also noticed several shallow slab avalanches on the East face of Mt Magog (Picture 4).  

 

Other slopes seemed to be bonding much better.  There was significant sluffing in the north facing Miller bowl but no slab releases (Picture 5).  We also rode some steep North facing slopes with nothing more than some minor sluffing. 
",,,,15.0,840.0,4800.0,9100.0
2/26/2018,Salt Lake,White Pine,Natural,,,,,,West,"10,900'",,,,,,,,,,,"Date unknown, estimated to be February 26th.  Observed from a distance:  

Running 3/4 track and pretty much full width. I did not go over to investigate the crown. From my vantage point looked to be 3-4 feet deep. Down to the brown layer I'd say. I mean it looked pretty fresh even with the wind an skiff of new snow on it.

So just to the north of LJS there are 3 more gullies and the furthest north had been skied heavily without incident. 
",,,,,,,10900.0
12/22/2022,Salt Lake,Grizzly Gulch,Natural,,,"12""",30',,East,"10,000'","40.596519503321, -111.611824022840",,,,,,,,,,"Saw three small (D.5) Natural wind slab avalanches today in the grizzly gulch area. All were 1' or less in depth and less than 30' wide. All seemed to go naturally through the night/early morning. All were on isolated east facing wind loaded slopes about 35*. 
",,,,12.0,360.0,,10000.0
4/27/2014,Salt Lake,Little Superior,Skier,Intentionally Triggered,New Snow/Old Snow Interface,"8""",100',"2,000'",Southeast,"10,500'","40.591861000000, -111.662464000000",,,,,,,,,,"Went up with intentions of skiing into upper Cardiff via LSB on the East face. East had a crust so noticing all the snow on south facing was good on the way up, decided to ski south face Little Superior out. Did a ski cut from a high to a lower point just off the ridge. Wind slab released that was much bigger than expected. Produced a decent powder cloud on the way down, running approximately 2000 vertical feet. It funneled down through a choke of what I think is called the Two Trees area. I went down skiers left of the slide where snow was not wind effected and ended up skiing through a sizable amount of debris. Would have been a crappy ride if caught in it as lots of rocks now are just under new snow. Definitely enough snow to burry someone. 
Good example of cross loading. West winds loaded snow east of the ridge (see photo of before the slide) straight in front of my ski tips. Everything between my skis and the ridge cracked out. Sorry...no photos of the slide. Would have been difficult to see anyway. ",,,,8.0,1200.0,24000.0,10500.0
11/29/2012,Salt Lake,Snake Creek,Skier,Unintentionally Triggered,Graupel,"6""",15',200',Northeast,"9,700'",,,,,,,,,,,"Not a major incident but worth pointing out for the rotted nature of the surface snow on north aspcts.  A good indicator that this snow will not be able to withstand much, if any, of a load during the next storm cycle.
Sluffalanche moved faster and further than expected.  I had to skii out of the way after i noticed that it was moving faster than me and starting to take the tails of my skis down hill faster than I was skiing, which was slow due to the thin cover.
Debris pile was only 1-1.5' deep not enough to bury but enough that it could knock someone over.
4th run of the day in this area, 1st three runs were on a 35 deg. slope without incident., the 4th was a bit steeper (38-40 deg. or so).
Ran until the slope angle lessened to about 30 deg.
 
 
 
",,,,6.0,180.0,2400.0,9700.0
12/19/2013,Salt Lake,Davenport Hill,Skier,Unintentionally Triggered,Facets,"12""",150',500',Northwest,"10,000'","40.599519000000, -111.623068000000",1.0,,,,,,,,,"Myself and one partner had just skied a run in Grizzly Gulch, and were heading west across the Cottonwood Ridge to meet some friends who were skiing West Bowl.  On the way from East Pass to Davenport Hill, one natural, soft slab avalanche was noted in a steep, north facing gully just skiers left of east pass, which appeared to have run this morning; the 30' wide, ~6"" deep crown, and the debris in the runout, was all covered by a few inches of new snow.  Additionally, I triggered an 8"" deep, 50' wide new snow, soft slab avalanche, from a safe spot on the ridge, in the next gully to the west, near the top of Davenport Hill.  Both of these slides appeared to have failed beneath the new snow on yesterday's faceted snow surface.

After cresting the top of Davenport hill, the next portion of ridgeline to the west was nearly snow free on the south side of the ridge, and I judged the north side of the ridge to be ""not steep enough to be a problem.""  My partner and I stopped for a moment, and I stated my feelings about the slope, and then walked onto it.  Staying very close to the ridge, I immediately felt the sandbox effect of a weak snowpack beneath this morning's snow, and after taking a couple steps, the avalanche broke at my feet.  The slab moved very slowly at first, and I was able to arrest on the bed surface, although the bed surface was so loose that I felt like I was treading water, well after the slab was off to the races below me. 

Overall, the slab was an average of 10""-12"" deep, with a couple portions stepping down into the late november facets, and one portion, on the eastern extremety of the slide, releasing near the ground, with the characteristic brown snow visible at the bottom of a ~three foot deep crown.  When I stood up, I measured the slope angle where I stood to be 32 degrees, although other portions of the bed surface measured exactly 36 degrees.  In places, this slab pulled out near the ridge on portions of ~30 degree terrain.  The debris ran through dense trees below me, and well onto the flats beneath the Silver Fork Headwall.  I called my friends in West Bowl who confirmed there was no one else in the area, and then called Alta Central.  

This was a close call--if I had entered the slope further to the east, where it is steeper, I would have been on a deeper portion of the slab and would likely have been strained through dense trees before riding a large debris pile to the flats.  It was similar to what has been, to my knowledge, my only other truly close call, in which I assumed my visual impression of a slope's steepness was correct, without having actually measured it previously, or personally seeing avalanches on the slope.  In both cases, i had made a deliberate assesment of terrain and snow conditions, and judged that I was about to do the right thing.  In both cases, I was in terrain I don't ski that much--not really a silver fork guy--but which I assumed could be navigated safely.  At this point, I lack a good, constructive summary, or words of wisdom...","Marginal photo of the trees beneath the starting zone, and mangled, rotten bed surface; fog and light snowfall made a photo of the runout difficult...",,"Looking east, toward the deepest portion of the crown and steepest portion of the slope.  Not much snow left on this slope.",12.0,1800.0,6000.0,10000.0
3/7/2018,Ogden,Coldwater Canyon,Skier,Unintentionally Triggered,Facets,2',,,North,"8,400'","41.214103447188, -111.882684218010",,,,,,,,,,"A dangerous persistent slab avalanche was triggered by skiers who entered the backcountry from the ridge accessed by Snowbasin's Allen Peak Tram.  The local skiers promply reported the avalanche to the Snowbasin Patrol, and said that the entire Technicolor path ""cleaned out.""  Thankfully nobody was caught, since the dangerous avalanche traveled quite a ways out of sight down into Cold Water Canyon. 

We decided not to venture into the site of the avalanche because of widespread poor snowpack structure in the area and the potential of triggering another avalanche.  Sorry that more details and photos of the avalanche are not available.

A weak layer consisting of very loose, sugary, faceted snow from December has plagued the area all winter, and it is obviously still reactive.  Snowpit tests in nearby Hell's Canyon showed moderately unstable snow and tendency for full propagation on the faceted layer. 
",,,,24.0,,,8400.0
1/20/2018,Salt Lake,No Name Bowl,Skier,Unintentionally Triggered,Depth Hoar,3',200',600',Northeast,"9,600'",,1.0,1.0,1.0,,,,"The skier was caught and carried about 500 to 600ft down the slope and partially buried, he extracted himself and headed back to the Park City side where he came from after we yelled at him to make sure he was alright, not sure if he lost any gear but he had both skis on when he left. Another point of interest is that he was wearing a avalanche air bag and did not deploy it, not sure if he was getting trundled too hard to pull the cord or what happened, hopefully he will send in a report and give us some first hand information. in a report",,,"This avalanche in No Name Bowl was triggered around 2:00pm, there were already 18 tracks in the bowl by this time when a lone skier triggered the slide on a steep rocky roll-over. The fracture line was about 50ft off the ridge line and the trigger point was a thin rocky spot on the roll-over. My party had already skied two runs in the bowl but we have been avoiding the steep rocky roll-over like the plague all winter, I've seen that part of the bowl avalanche more times than I can remember. The skier was caught and carried about 500 to 600ft down the slope and partially buried, he extracted himself and headed back to the Park City side where he came from after we yelled at him to make sure he was alright, not sure if he lost any gear but he had both skis on when he left. Another point of interest is that he was wearing a avalanche air bag and did not deploy it, not sure if he was getting trundled too hard to pull the cord or what happened, hopefully he will send in a report and give us some first hand information. in a report
",,,"From the skier caught in the avalanche:

On my third lap in No Name Bowl today I remotely triggered a large slide which caught and carried me approximately 500’. The deep slab broke approximately 120’ above me. I’d skied the bowl 48 hrs ago and noted the entire bowl was tracked repeatedly. The underlying surface felt solid. Today there were between 9 and 11 people skiing the bowl in various groups. While there had been some dense sluffing on the first lap, it didn’t feel concerning. Concern diminished further as the bowl was quickly tracked up. As I waited for my third lap at the top I noted that there remained only a couple of alleys of clean snow. One was just north of the high point on the crest of the bowl. At the top of the alley lies a steep rocky section which will often release if touched. I chose a line slightly north of this point with the plan to move south once I was several turns into the run. After cutting into the run and feeling solid I began to descend. There was once again some sluffing but it actually felt lighter than earlier with less volume. On approximately my fifth turn I was hit by the slab and knocked over. I was buried briefly and then spat out. That cycle continued 3-5 times until I came to a stop sitting in the debris. I’m speculating that the slope angle above me combined with the persistent slab and the weight of the new snow produced this one. I’m still shocked though that between 18-21 runs prior to mine, within 60 min of mine in fact, and with some releasing sizable and long running heavy sluffs, did not pull this out. I feel pretty damn lucky today. 

 ",36.0,2400.0,7200.0,9600.0
2/21/2010,Provo,Provo,Unknown,Repeater,Depth Hoar,3',50',,East,"9,700'","0.000000000000, 0.000000000000",,,,,,,,,,"With good visibility in the early AM, I saw at least two deeper HS's  that were triggered by LS slides sometime yesterday morning. One of them  was in Slide Canyon at 9700', E facing, in Shot 12.  The other was in  the Bearclaw path at about the same elevation.  Each of them were  relatively small pockets, (50' wide) but they are interesting because of  their depth (2.5'-3' deep).  We haven't seen anything this deep in a  while and it indicates the pockety nature of the deep slab issues.   Below is the pocket in Slide Canyon.",,,,36.0,600.0,,9700.0
